,index,tconst,primaryTitle,averageRating,numVotes,startYear,first,second,third,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western,groupe
121,121,tt0099637,A Cat in the Brain,5.5,3664,1990,Comedy,Fantasy,Horror,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
122,122,tt0099652,Ghayal,7.7,4958,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123,123,tt0099653,Ghost,7.1,229568,1990,Drama,Fantasy,Romance,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
124,124,tt0099654,Ghost Dad,4.4,8336,1990,Comedy,Family,Fantasy,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
125,125,tt0099669,My Father's Glory,7.6,6866,1990,Adventure,Biography,Drama,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
126,126,tt0099673,"Good Evening, Mr. Wallenberg",6.5,1031,1990,Biography,Drama,War,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
127,127,tt0099674,The Godfather Part III,7.6,414930,1990,Crime,Drama,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
128,128,tt0099685,Goodfellas,8.7,1219406,1990,Biography,Crime,Drama,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
129,129,tt0099691,Graffiti Bridge,4.4,2215,1990,Drama,Music,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
130,130,tt0099697,Graveyard Shift,4.9,12295,1990,Horror,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
131,131,tt0099699,Green Card,6.3,25462,1990,Comedy,Drama,Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
132,132,tt0099700,Gremlins 2: The New Batch,6.4,109896,1990,Comedy,Fantasy,Horror,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
133,133,tt0099701,The Rift,4.7,2600,1990,Action,Adventure,Horror,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
134,134,tt0099703,The Grifters,6.9,29672,1990,Crime,Drama,Thriller,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
135,135,tt0099704,Grim Prairie Tales,5.4,1083,1990,Horror,Western,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
136,136,tt0099710,The Guardian,5.4,6229,1990,Drama,Fantasy,Horror,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
137,137,tt0099720,Guns,4.4,1434,1990,Action,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
138,138,tt0099726,Hamlet,6.7,23264,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
139,139,tt0099729,Hamoun,7.9,7070,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
140,140,tt0099731,The Handmaid's Tale,6.0,10358,1990,Drama,Romance,Sci-Fi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
141,141,tt0099739,Hard to Kill,5.8,31684,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
142,142,tt0099740,Hardware,5.9,16137,1990,Sci-Fi,Thriller,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
143,143,tt0099747,Havana,6.1,8394,1990,Drama,Romance,War,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
144,144,tt0099750,Heart Condition,5.5,3905,1990,Comedy,Crime,Drama,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
145,145,tt0099753,Heaven and Earth,6.8,1109,1990,Action,Adventure,Drama,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
146,146,tt0099762,Henry & June,6.3,13937,1990,Biography,Drama,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
147,147,tt0099768,Hidden Agenda,6.9,4472,1990,Drama,Thriller,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
148,148,tt0099776,Europa Europa,7.6,17170,1990,Drama,History,War,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
149,149,tt0099785,Home Alone,7.7,614273,1990,Comedy,Family,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
